StudyID,Study..Authors.,PublicationYear,StudyLabel,Title,Status,Country,Comparison.within.study,ComparisonID,Outcome.battery,Subscale.subtest,Type.of.test,Diagnostic.Status,CG.status,Pre.TG.Mean,Pre.TG.sd,Pre.TG.N,Pre.CG.Mean,Pre.CG.sd,Pre.CG.N,Post.TG.Mean,Post.TG.sd,Post.TG.N,Post.CG.Mean,Post.CG.sd,Post.CG.N,Cohen.d,OutcomeType,OutcomeDetail,Reliability,outcomeSign,Time,InterventionType,InterventionType.Detail.1,InterventionType.Detail.2,Setting,Design,Session.duration,N.of.sessions,N.of.weeks,M.Age..months.,Age.Range,M.Age.TG,M.Age.CG,Estimated.mean.age,Age.group,M.IQ.TG,M.IQ.CG,ClaimTitleAbstract,Statistical.inference,Post.hoc,critical.threshold,explicit.alpha,pvalue.correction,Effect.size.reported,Nxgroup,EffectSize,Vi
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,9.9,7.5,9,11.1,7.8,9,6.1,4.4,9,9.8,11.1,9,,Text,TEXTErrors,,Negativo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.311175793,0.095687164
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,39.9,13,9,38,17,9,34.5,11.9,9,34.9,15.9,9,,Text,TEXTSpeeda,,Negativo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.144750741,0.092909656
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,1.1,1.5,9,1.2,0.9,9,0.4,0.6,9,0.7,0.8,9,,Word,HFErrors,,Negativo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.153990873,0.093010701
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,18.5,6.7,9,17,6,9,16,8.8,9,15.7,7.3,9,,Word,HFSpeedb,,Negativo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.179704738,0.093324795
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,2.4,1.5,9,1.8,1.6,9,1.2,1.2,9,1.4,1.8,9,,Word,LFErrors,,Negativo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.491295909,0.100978116
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,27.8,13.7,9,24.4,16.5,9,20.5,8.6,9,22.8,12,9,,Word,LFSpeedb,,Negativo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.357972747,0.096833421
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,3.6,4.1,9,3.8,3.4,9,2.3,2.3,9,2.6,2.5,9,,Pseudoword,NWbErrors,,Negativo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.025286926,0.092166084
5,Costanzo,2016,Costanzo et al. (2016),Evidence for reading improvement following tDCS treatment in children and adolescents with Dyslexia,Published,Italian,tDCS vs Sham,5,,,unstandardized,Clinical assessment,Control,40.6,22.7,9,30.2,7.7,9,24.9,11.9,9,26.4,10.5,9,,Pseudoword,NWbSpeedb,,Negativo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Individual,randomized,20,18,6,,,159.6,163.2,161.4,Child,Raven 111.8,Raven 104.8,Effective,ANOVAs interaction adjusted by pre-test,Fisher LSD test by group,p < 0.05,yes,no,partial eta square,9,0.668647781,0.108508454
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,0.44,0.17,13,0.45,0.18,13,0.46,0.16,13,0.43,0.16,13,,Text,text reading task,,Positivo,pre-post,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.2,Raven 107.1,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.22126309,0.064090634
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,3.75,1.56,13,3.74,1.27,13,4.43,1.42,13,4.28,1.61,13,,Word,high-frequency word reading task,,Positivo,pre-post,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.3,Raven 107.2,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.095316368,0.063169689
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,2.53,1.01,13,3,1.77,13,2.85,1.31,13,2.68,1.14,13,,Word,low-frequency word reading task,,Positivo,pre-post,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.2,Raven 107.1,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.430108701,0.067232723
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,1.56,0.71,13,2.1,0.85,13,2.32,0.93,13,2.18,0.92,13,,Pseudoword,non-word reading task,,Positivo,pre-post,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.3,Raven 107.2,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.840885091,0.079291772
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,0.44,0.17,13,0.45,0.18,13,0.48,0.18,13,0.49,0.19,13,,Text,text reading task,,Positivo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.2,Raven 107.1,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0,0.062959843
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,3.75,1.56,13,3.74,1.27,13,4.55,1.72,13,4.43,1.6,13,,Word,high-frequency word reading task,,Positivo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.3,Raven 107.2,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.074891432,0.063089391
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,2.53,1.01,13,3,1.77,13,3.52,1.76,13,2.95,1.24,13,,Word,low-frequency word reading task,,Positivo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.2,Raven 107.1,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.698926639,0.074242915
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,1.56,0.71,13,2.1,0.85,13,2.43,1.26,13,2.33,1.25,13,,Pseudoword,non-word reading task,,Positivo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.3,Raven 107.2,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.791421262,0.07742688
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,0.44,0.17,13,0.45,0.18,13,0.52,0.17,13,0.5,0.19,13,,Text,text reading task,,Positivo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.2,Raven 107.1,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.165947318,0.063595913
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,3.75,1.56,13,3.74,1.27,13,4.9,1.65,13,4.32,1.51,13,,Word,high-frequency word reading task,,Positivo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.3,Raven 107.2,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.388073782,0.06643835
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,2.53,1.01,13,3,1.77,13,3.16,1.28,13,3.07,1.23,13,,Word,low-frequency word reading task,,Positivo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.2,Raven 107.1,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.376345113,0.066231267
6,Costanzo,2019,Costanzo et al. (2019),Long-lasting improvement following tDCS treatment combined with a training for reading in children and adolescents with dyslexia,Published,Italian,tDCS vs Sham,6,,"word, pseudowords, text",unstandardized,Clinical assessment,Control,1.56,0.71,13,2.1,0.85,13,2.37,1.05,13,2.2,1.18,13,,Pseudoword,non-word reading task,,Positivo,pre-followup,Brain stimulation,Brain stimulation,TDCS,Computer,randomized,19,18,6,,,163.2,166.8,165,Child,Raven 108.3,Raven 107.2,Effective,ANOVAs interaction adjusted by pre-test,Tukey HSD test by group,p < 0.05,yes,no,partial eta square,13,0.877982963,0.080764612
7,Dai,2016,Dai et al. (2016),A special Chinese reading acceleration training paradigm: To enhance the reading fluency and comprehension of Chinese children with reading disabilities,Published,China,Character-acceleration vs Control,7,created ad hoc,words and texts,unstandardized,Assessed by the authors,non accelerated reading paradigm,7116.21,2645.04,15,7736.5,1154.21,15,6127.15,3930.77,15,7615.54,2370.21,15,,Text,ReadingSpeedOfASelf-pacedTtest,,Negativo,pre-post,Reading acceleration program,Reading acceleration program,Reading accellerated training,Computer,randomized,,9,3,112,,,,112,Child,40.58 Raven,40.73 Raven,Effective,ANOVAs interaction,post-test group comparisons,p < 0.05,no,no,eta square,15,0.413907952,0.057713545
7,Dai,2016,Dai et al. (2016),A special Chinese reading acceleration training paradigm: To enhance the reading fluency and comprehension of Chinese children with reading disabilities,Published,China,Character-acceleration vs Control,7,created ad hoc,words and texts,unstandardized,Assessed by the authors,non accelerated reading paradigm,63.2,11.77,15,63.67,12.61,15,77.41,7.5,15,65.52,17.62,15,,Text,ReadingAccuracyOfASelf-pacedTest,,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accellerated training,Computer,randomized,,9,3,112,,,,112,Child,40.58 Raven,40.73 Raven,Effective,ANOVAs interaction,post-test group comparisons,p < 0.05,no,no,eta square,15,0.985956869,0.073327106
7,Dai,2016,Dai et al. (2016),A special Chinese reading acceleration training paradigm: To enhance the reading fluency and comprehension of Chinese children with reading disabilities,Published,China,Character-acceleration vs Control,7,created ad hoc,words and texts,unstandardized,Assessed by the authors,non accelerated reading paradigm,5682.6,3419.5,15,5998.1,3215,15,4162.47,1158.29,15,5625.81,2252.88,15,,Text,ReadingpeedOfAFast-pacedTest,,Negativo,pre-post,Reading acceleration program,Reading acceleration program,Reading accellerated training,Computer,randomized,,9,3,112,,,,112,Child,40.58 Raven,40.73 Raven,Effective,ANOVAs interaction,post-test group comparisons,p < 0.05,no,no,eta square,15,0.336509799,0.056581102
7,Dai,2016,Dai et al. (2016),A special Chinese reading acceleration training paradigm: To enhance the reading fluency and comprehension of Chinese children with reading disabilities,Published,China,Character-acceleration vs Control,7,created ad hoc,words and texts,unstandardized,Assessed by the authors,non accelerated reading paradigm,60.76,14.64,15,63.22,9.65,15,75.89,7.87,15,63.22,15.1,15,,Text,ReadingAccuracyOfAFast-pacedTest,,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accellerated training,Computer,randomized,,9,3,112,,,,112,Child,40.58 Raven,40.73 Raven,Effective,ANOVAs interaction,post-test group comparisons,p < 0.05,no,no,eta square,15,1.187315044,0.081859403
7,Dai,2016,Dai et al. (2016),A special Chinese reading acceleration training paradigm: To enhance the reading fluency and comprehension of Chinese children with reading disabilities,Published,China,Words-acceleration vs Control,8,created ad hoc,words and texts,unstandardized,Assessed by the authors,non accelerated reading paradigm,6245.69,2562.45,15,7736.5,1154.21,15,4093.54,1807.54,15,7615.54,2370.21,15,,Text,ReadingSpeedOfASelf-pacedTtest,,Negativo,pre-post,Reading acceleration program,Reading acceleration program,Reading accellerated training,Computer,randomized,,9,3,112,,,,112,Child,40.58 Raven,40.73 Raven,Effective,ANOVAs interaction,post-test group comparisons,p < 0.05,no,no,eta square,15,0.994484725,0.0736564
7,Dai,2016,Dai et al. (2016),A special Chinese reading acceleration training paradigm: To enhance the reading fluency and comprehension of Chinese children with reading disabilities,Published,China,Words-acceleration vs Control,8,created ad hoc,words and texts,unstandardized,Assessed by the authors,non accelerated reading paradigm,72.92,8.13,15,63.67,12.61,15,75.76,8.17,15,65.52,17.62,15,,Text,ReadingAccuracyOfASelf-pacedTest,,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accellerated training,Computer,randomized,,9,3,112,,,,112,Child,40.58 Raven,40.73 Raven,Effective,ANOVAs interaction,post-test group comparisons,p < 0.05,no,no,eta square,15,0.090793454,0.054533937
7,Dai,2016,Dai et al. (2016),A special Chinese reading acceleration training paradigm: To enhance the reading fluency and comprehension of Chinese children with reading disabilities,Published,China,Words-acceleration vs Control,8,created ad hoc,words and texts,unstandardized,Assessed by the authors,non accelerated reading paradigm,3858.4,1469.9,15,5998.1,3215,15,3120.87,801.13,15,5625.81,2252.88,15,,Text,ReadingpeedOfAFast-pacedTest,,Negativo,pre-post,Reading acceleration program,Reading acceleration program,Reading accellerated training,Computer,randomized,,9,3,112,,,,112,Child,40.58 Raven,40.73 Raven,Effective,ANOVAs interaction,post-test group comparisons,p < 0.05,no,no,eta square,15,0.142165481,0.054767277
7,Dai,2016,Dai et al. (2016),A special Chinese reading acceleration training paradigm: To enhance the reading fluency and comprehension of Chinese children with reading disabilities,Published,China,Words-acceleration vs Control,8,created ad hoc,words and texts,unstandardized,Assessed by the authors,non accelerated reading paradigm,71.43,10.32,15,63.22,9.65,15,73.48,14.2,15,63.22,15.1,15,,Text,ReadingAccuracyOfAFast-pacedTest,,Positivo,pre-post,Reading acceleration program,Reading acceleration program,Reading accellerated training,Computer,randomized,,9,3,112,,,,112,Child,40.58 Raven,40.73 Raven,Effective,ANOVAs interaction,post-test group comparisons,p < 0.05,no,no,eta square,15,0.199646766,0.055150363
8,Decker,2014,Decker and Buggey (2014),Using Video Self- and Peer Modeling to Facilitate Reading Fluency in Children With Learning Disabilities,Published,Usa,Peer-modeling vs Control,9,Woodcock-Johnson III,words,standardized,Clinical assessment,comparison group,60.13,12.8,3,51.67,28.94,3,84.33,14.64,3,63.33,35.23,3,,word,words read correctly per minute,,Positivo,pre-post,Modeling,Modeling,Video Self- and Peer Modeling,Individual,randomized,15,4,2,,,116.04,117.64,116.84,Child,86.3,86.3,Effective,Descriptive,,no,,,descriptive,3,0.448339106,0.39761556
8,Decker,2014,Decker and Buggey (2014),Using Video Self- and Peer Modeling to Facilitate Reading Fluency in Children With Learning Disabilities,Published,Usa,Self-modeling vs Control,10,Woodcock-Johnson III,words,standardized,Clinical assessment,comparison group,60.1,13.06,3,51.67,28.94,3,118.08,28.72,3,63.33,35.23,3,,word,words read correctly per minute,,Positivo,pre-post,Modeling,Modeling,Video Self- and Peer Modeling,Individual,randomized,15,4,2,,,125.2,117.64,121.42,Child,91.6,86.3,Effective,Descriptive,,no,,,descriptive,3,1.650534039,1.104126866
8,Decker,2014,Decker and Buggey (2014),Using Video Self- and Peer Modeling to Facilitate Reading Fluency in Children With Learning Disabilities,Published,Usa,Peer-modeling vs Control,9,Woodcock-Johnson III,words,standardized,Clinical assessment,comparison group,60.13,12.8,3,51.67,28.94,3,90.67,25.41,3,77.53,31.56,3,,word,words read correctly per minute,,Positivo,pre-followup,Modeling,Modeling,Video Self- and Peer Modeling,Individual,randomized,15,4,2,,,116.04,117.64,116.84,Child,86.3,86.3,Effective,Descriptive,,no,,,descriptive,3,0.167322728,0.349172464
8,Decker,2014,Decker and Buggey (2014),Using Video Self- and Peer Modeling to Facilitate Reading Fluency in Children With Learning Disabilities,Published,Usa,Self-modeling vs Control,10,Woodcock-Johnson III,words,standardized,Clinical assessment,comparison group,60.1,13.06,3,51.67,28.94,3,128.53,30.02,3,77.53,31.56,3,,word,words read correctly per minute,,Positivo,pre-followup,Modeling,Modeling,Video Self- and Peer Modeling,Individual,randomized,15,4,2,,,125.2,117.64,121.42,Child,91.6,86.3,Effective,Descriptive,,no,,,descriptive,3,1.516909198,0.985617118
9,Ebrahimi,2019,Ebrahimi et al. (2019),Magnocellular Based Visual Motion Training Improves Reading in Persian,Published,Iran,Magnocellular training vs Control,11,,,standardized,Assessed by the authors,Control,58.88,8.71,13,54.44,20.18,11,78.98,9.4,13,63.23,16.02,11,,Text,Reading accuracy scores,,Positivo,pre-post,Neuropsychological,Visual attention training,Magnocellular Based Visual Motion Training,Computer,randomized,35,12,6,117.12,,,,117.12,Child,Average IQ,Average IQ,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,12,0.725607738,0.082238556
9,Ebrahimi,2019,Ebrahimi et al. (2019),Magnocellular Based Visual Motion Training Improves Reading in Persian,Published,Iran,Magnocellular training vs Control,11,,,standardized,Assessed by the authors,Control,46.39,14.79,13,48.94,22.44,11,64.14,9.6,13,60.26,14.71,11,,Text,Reading comprehension scores,,Positivo,pre-post,Neuropsychological,Visual attention training,Magnocellular Based Visual Motion Training,Computer,randomized,35,12,6,117.12,,,,117.12,Child,Average IQ,Average IQ,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,12,0.332701512,0.071657737
9,Ebrahimi,2019,Ebrahimi et al. (2019),Magnocellular Based Visual Motion Training Improves Reading in Persian,Published,Iran,Magnocellular training vs Control,11,,,standardized,Assessed by the authors,Control,58.88,8.71,13,54.44,20.18,11,80.72,9.4,13,67.87,16.02,11,,Text,Reading accuracy scores,,Positivo,pre-followup,Neuropsychological,Visual attention training,Magnocellular Based Visual Motion Training,Computer,randomized,35,12,6,117.12,,,,117.12,Child,Average IQ,Average IQ,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,12,0.539554472,0.076248908
9,Ebrahimi,2019,Ebrahimi et al. (2019),Magnocellular Based Visual Motion Training Improves Reading in Persian,Published,Iran,Magnocellular training vs Control,11,,,standardized,Assessed by the authors,Control,46.39,14.79,13,48.94,22.44,11,69.24,9.6,13,60.59,13.24,11,,Text,Reading comprehension scores,,Positivo,pre-followup,Neuropsychological,Visual attention training,Magnocellular Based Visual Motion Training,Computer,randomized,35,12,6,117.12,,,,117.12,Child,Average IQ,Average IQ,Effective,ANOVAs interaction,pairwise t-test various,p < 0.05,no,no,partial eta square,12,0.579511188,0.077386701
10,Ferraz,2018,Ferraz et al. (2018),Effects of a phonological reading and writing remediation program in students with dyslexia: Intervention for specific learning disabilities,Published,Portuguese,Phonological reading program vs Control,12,,"words, pseudowords, high and low frequency",standardized,Clinical assessment,Control,4,3.05,10,4.5,2.35,10,5.3,2.4,10,4.7,1.95,10,,Word,RegularLF,,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological Reading and Writing Remediation Program,Individual,randomized,45,24,12,,,116.4,111.6,114,Child,IQ > 80,IQ > 80,Effective,Paired t-test by group,,p < 0.05,yes,no,no,10,0.386955386,0.087337284
10,Ferraz,2018,Ferraz et al. (2018),Effects of a phonological reading and writing remediation program in students with dyslexia: Intervention for specific learning disabilities,Published,Portuguese,Phonological reading program vs Control,12,,"words, pseudowords, high and low frequency",standardized,Clinical assessment,Control,4.3,3.23,10,4.8,2.35,10,5.6,2.79,10,4.7,1.81,10,,Word,RegularHF,,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological Reading and Writing Remediation Program,Individual,randomized,45,24,12,,,116.4,111.6,114,Child,IQ > 80,IQ > 80,Effective,Paired t-test by group,,p < 0.05,yes,no,no,10,0.474722427,0.089752665
10,Ferraz,2018,Ferraz et al. (2018),Effects of a phonological reading and writing remediation program in students with dyslexia: Intervention for specific learning disabilities,Published,Portuguese,Phonological reading program vs Control,12,,"words, pseudowords, high and low frequency",standardized,Clinical assessment,Control,3.2,2.75,10,3.5,2.06,10,4.5,2.09,10,3.4,1.71,10,,Pseudoword,RegularPseudowords,,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological Reading and Writing Remediation Program,Individual,randomized,45,24,12,,,116.4,111.6,114,Child,IQ > 80,IQ > 80,Effective,Paired t-test by group,,p < 0.05,yes,no,no,10,0.551874553,0.092282295
10,Ferraz,2018,Ferraz et al. (2018),Effects of a phonological reading and writing remediation program in students with dyslexia: Intervention for specific learning disabilities,Published,Portuguese,Phonological reading program vs Control,12,,"words, pseudowords, high and low frequency",standardized,Clinical assessment,Control,3.3,2.88,10,3.1,1.66,10,4.9,3.05,10,3.1,0.99,10,,Word,RuleLF,,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological Reading and Writing Remediation Program,Individual,randomized,45,24,12,,,116.4,111.6,114,Child,IQ > 80,IQ > 80,Effective,Paired t-test by group,,p < 0.05,yes,no,no,10,0.651935162,0.096129366
10,Ferraz,2018,Ferraz et al. (2018),Effects of a phonological reading and writing remediation program in students with dyslexia: Intervention for specific learning disabilities,Published,Portuguese,Phonological reading program vs Control,12,,"words, pseudowords, high and low frequency",standardized,Clinical assessment,Control,4.2,2.67,10,3.3,2.62,10,5.5,2.61,10,3.3,2,10,,Word,RuleHF,,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological Reading and Writing Remediation Program,Individual,randomized,45,24,12,,,116.4,111.6,114,Child,IQ > 80,IQ > 80,Effective,Paired t-test by group,,p < 0.05,yes,no,no,10,0.470705033,0.089631359
10,Ferraz,2018,Ferraz et al. (2018),Effects of a phonological reading and writing remediation program in students with dyslexia: Intervention for specific learning disabilities,Published,Portuguese,Phonological reading program vs Control,12,,"words, pseudowords, high and low frequency",standardized,Clinical assessment,Control,3.1,2.54,10,2.3,2.59,10,3.6,2.28,10,2.5,2.45,10,,Pseudoword,RulePseudowords,,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological Reading and Writing Remediation Program,Individual,randomized,45,24,12,,,116.4,111.6,114,Child,IQ > 80,IQ > 80,Effective,Paired t-test by group,,p < 0.05,yes,no,no,10,0.112011812,0.082955765
10,Ferraz,2018,Ferraz et al. (2018),Effects of a phonological reading and writing remediation program in students with dyslexia: Intervention for specific learning disabilities,Published,Portuguese,Phonological reading program vs Control,12,,"words, pseudowords, high and low frequency",standardized,Clinical assessment,Control,3.3,2.66,10,2.8,2.89,10,4.3,2.21,10,2.5,2.75,10,,Word,IrregularLF,,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological Reading and Writing Remediation Program,Individual,randomized,45,24,12,,,116.4,111.6,114,Child,IQ > 80,IQ > 80,Effective,Paired t-test by group,,p < 0.05,yes,no,no,10,0.448289247,0.088973434
10,Ferraz,2018,Ferraz et al. (2018),Effects of a phonological reading and writing remediation program in students with dyslexia: Intervention for specific learning disabilities,Published,Portuguese,Phonological reading program vs Control,12,,"words, pseudowords, high and low frequency",standardized,Clinical assessment,Control,4,2.86,10,2.8,3.03,10,4.7,2.9,10,2.9,2.93,10,,Word,IrreggularHF,,Positivo,pre-post,Phonemic awareness instruction,phonemic awareness instruction,Phonological Reading and Writing Remediation Program,Individual,randomized,45,24,12,,,116.4,111.6,114,Child,IQ > 80,IQ > 80,Effective,Paired t-test by group,,p < 0.05,yes,no,no,10,0.195045393,0.083770061
